year,age_group,ukborn,pulmextrapulm,type,policy_change,incidence
2002,45-49,NA,"Pulmonary, with or without EP",observed,Universal,0
2002,45-49,NA,"Pulmonary, with or without EP",observed,Targeted,0
2002,45-49,NA,NA,fitted,Universal,1
2002,45-49,NA,NA,fitted,Targeted,0
2002,45-49,NA,NA,observed,Universal,0
2002,45-49,NA,NA,observed,Targeted,0
2002,50-69,Non-UK Born,Extra-pulmonary only,fitted,Universal,302
2002,50-69,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2002,50-69,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2002,50-69,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2002,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,333
2002,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2002,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2002,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2002,50-69,Non-UK Born,NA,fitted,Universal,1
2002,50-69,Non-UK Born,NA,fitted,Targeted,0
2002,50-69,Non-UK Born,NA,observed,Universal,0
2002,50-69,Non-UK Born,NA,observed,Targeted,0
2002,50-69,UK Born,Extra-pulmonary only,fitted,Universal,79
2002,50-69,UK Born,Extra-pulmonary only,fitted,Targeted,0
2002,50-69,UK Born,Extra-pulmonary only,observed,Universal,0
2002,50-69,UK Born,Extra-pulmonary only,observed,Targeted,0
2002,50-69,UK Born,"Pulmonary, with or without EP",fitted,Universal,319
2002,50-69,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2002,50-69,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2002,50-69,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2002,50-69,NA,Extra-pulmonary only,fitted,Universal,64
2002,50-69,NA,Extra-pulmonary only,fitted,Targeted,0
2002,50-69,NA,Extra-pulmonary only,observed,Universal,0
2002,50-69,NA,Extra-pulmonary only,observed,Targeted,0
2002,50-69,NA,"Pulmonary, with or without EP",fitted,Universal,98
2002,50-69,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2002,50-69,NA,"Pulmonary, with or without EP",observed,Universal,0
2002,50-69,NA,"Pulmonary, with or without EP",observed,Targeted,0
2002,50-69,NA,NA,fitted,Universal,2
2002,50-69,NA,NA,fitted,Targeted,0
2002,50-69,NA,NA,observed,Universal,0
2002,50-69,NA,NA,observed,Targeted,0
2002,70-89,Non-UK Born,Extra-pulmonary only,fitted,Universal,108
2002,70-89,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2002,70-89,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2002,70-89,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2002,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,203
2002,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2002,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2002,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2002,70-89,UK Born,Extra-pulmonary only,fitted,Universal,77
2002,70-89,UK Born,Extra-pulmonary only,fitted,Targeted,0
2002,70-89,UK Born,Extra-pulmonary only,observed,Universal,0
2002,70-89,UK Born,Extra-pulmonary only,observed,Targeted,0
2002,70-89,UK Born,"Pulmonary, with or without EP",fitted,Universal,307
2002,70-89,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2002,70-89,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2002,70-89,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2002,70-89,NA,Extra-pulmonary only,fitted,Universal,30
2002,70-89,NA,Extra-pulmonary only,fitted,Targeted,0
2002,70-89,NA,Extra-pulmonary only,observed,Universal,0
2002,70-89,NA,Extra-pulmonary only,observed,Targeted,0
2002,70-89,NA,"Pulmonary, with or without EP",fitted,Universal,70
2002,70-89,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2002,70-89,NA,"Pulmonary, with or without EP",observed,Universal,0
2002,70-89,NA,"Pulmonary, with or without EP",observed,Targeted,0
2002,70-89,NA,NA,fitted,Universal,1
2002,70-89,NA,NA,fitted,Targeted,0
2002,70-89,NA,NA,observed,Universal,0
2002,70-89,NA,NA,observed,Targeted,0
2003,0-4,Non-UK Born,Extra-pulmonary only,fitted,Universal,6
2003,0-4,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,0-4,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,0-4,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,13
2003,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,0-4,UK Born,Extra-pulmonary only,fitted,Universal,21
2003,0-4,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,0-4,UK Born,Extra-pulmonary only,observed,Universal,0
2003,0-4,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,0-4,UK Born,"Pulmonary, with or without EP",fitted,Universal,53
2003,0-4,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,0-4,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,0-4,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,0-4,NA,Extra-pulmonary only,fitted,Universal,3
2003,0-4,NA,Extra-pulmonary only,fitted,Targeted,0
2003,0-4,NA,Extra-pulmonary only,observed,Universal,0
2003,0-4,NA,Extra-pulmonary only,observed,Targeted,0
2003,0-4,NA,"Pulmonary, with or without EP",fitted,Universal,4
2003,0-4,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,0-4,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,0-4,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,5-9,Non-UK Born,Extra-pulmonary only,fitted,Universal,14
2003,5-9,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,5-9,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,5-9,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,20
2003,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,5-9,UK Born,Extra-pulmonary only,fitted,Universal,17
2003,5-9,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,5-9,UK Born,Extra-pulmonary only,observed,Universal,0
2003,5-9,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,5-9,UK Born,"Pulmonary, with or without EP",fitted,Universal,29
2003,5-9,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,5-9,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,5-9,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,5-9,NA,Extra-pulmonary only,fitted,Universal,1
2003,5-9,NA,Extra-pulmonary only,fitted,Targeted,0
2003,5-9,NA,Extra-pulmonary only,observed,Universal,0
2003,5-9,NA,Extra-pulmonary only,observed,Targeted,0
2003,5-9,NA,"Pulmonary, with or without EP",fitted,Universal,3
2003,5-9,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,5-9,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,5-9,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,5-9,NA,NA,fitted,Universal,1
2003,5-9,NA,NA,fitted,Targeted,0
2003,5-9,NA,NA,observed,Universal,0
2003,5-9,NA,NA,observed,Targeted,0
2003,10-14,Non-UK Born,Extra-pulmonary only,fitted,Universal,26
2003,10-14,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,10-14,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,10-14,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,38
2003,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,10-14,UK Born,Extra-pulmonary only,fitted,Universal,31
2003,10-14,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,10-14,UK Born,Extra-pulmonary only,observed,Universal,0
2003,10-14,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,10-14,UK Born,"Pulmonary, with or without EP",fitted,Universal,28
2003,10-14,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,10-14,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,10-14,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,10-14,NA,Extra-pulmonary only,fitted,Universal,6
2003,10-14,NA,Extra-pulmonary only,fitted,Targeted,0
2003,10-14,NA,Extra-pulmonary only,observed,Universal,0
2003,10-14,NA,Extra-pulmonary only,observed,Targeted,0
2003,10-14,NA,"Pulmonary, with or without EP",fitted,Universal,8
2003,10-14,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,10-14,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,10-14,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,10-14,NA,NA,fitted,Universal,1
2003,10-14,NA,NA,fitted,Targeted,0
2003,10-14,NA,NA,observed,Universal,0
2003,10-14,NA,NA,observed,Targeted,0
2003,15-19,Non-UK Born,Extra-pulmonary only,fitted,Universal,83
2003,15-19,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,15-19,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,15-19,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,147
2003,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,15-19,UK Born,Extra-pulmonary only,fitted,Universal,31
2003,15-19,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,15-19,UK Born,Extra-pulmonary only,observed,Universal,0
2003,15-19,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,15-19,UK Born,"Pulmonary, with or without EP",fitted,Universal,71
2003,15-19,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,15-19,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,15-19,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,15-19,NA,Extra-pulmonary only,fitted,Universal,22
2003,15-19,NA,Extra-pulmonary only,fitted,Targeted,0
2003,15-19,NA,Extra-pulmonary only,observed,Universal,0
2003,15-19,NA,Extra-pulmonary only,observed,Targeted,0
2003,15-19,NA,"Pulmonary, with or without EP",fitted,Universal,22
2003,15-19,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,15-19,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,15-19,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,20-24,Non-UK Born,Extra-pulmonary only,fitted,Universal,197
2003,20-24,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,20-24,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,20-24,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,20-24,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,312
2003,20-24,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,20-24,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,20-24,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,20-24,UK Born,Extra-pulmonary only,fitted,Universal,30
2003,20-24,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,20-24,UK Born,Extra-pulmonary only,observed,Universal,0
2003,20-24,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,20-24,UK Born,"Pulmonary, with or without EP",fitted,Universal,86
2003,20-24,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,20-24,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,20-24,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,20-24,NA,Extra-pulmonary only,fitted,Universal,31
2003,20-24,NA,Extra-pulmonary only,fitted,Targeted,0
2003,20-24,NA,Extra-pulmonary only,observed,Universal,0
2003,20-24,NA,Extra-pulmonary only,observed,Targeted,0
2003,20-24,NA,"Pulmonary, with or without EP",fitted,Universal,26
2003,20-24,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,20-24,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,20-24,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,25-29,Non-UK Born,Extra-pulmonary only,fitted,Universal,363
2003,25-29,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,25-29,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,25-29,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,25-29,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,493
2003,25-29,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,25-29,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,25-29,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,25-29,UK Born,Extra-pulmonary only,fitted,Universal,41
2003,25-29,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,25-29,UK Born,Extra-pulmonary only,observed,Universal,0
2003,25-29,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,25-29,UK Born,"Pulmonary, with or without EP",fitted,Universal,96
2003,25-29,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,25-29,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,25-29,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,25-29,NA,Extra-pulmonary only,fitted,Universal,51
2003,25-29,NA,Extra-pulmonary only,fitted,Targeted,0
2003,25-29,NA,Extra-pulmonary only,observed,Universal,0
2003,25-29,NA,Extra-pulmonary only,observed,Targeted,0
2003,25-29,NA,"Pulmonary, with or without EP",fitted,Universal,35
2003,25-29,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,25-29,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,25-29,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,30-34,Non-UK Born,Extra-pulmonary only,fitted,Universal,321
2003,30-34,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,30-34,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,30-34,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,30-34,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,350
2003,30-34,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,30-34,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,30-34,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,30-34,Non-UK Born,NA,fitted,Universal,2
2003,30-34,Non-UK Born,NA,fitted,Targeted,0
2003,30-34,Non-UK Born,NA,observed,Universal,0
2003,30-34,Non-UK Born,NA,observed,Targeted,0
2003,30-34,UK Born,Extra-pulmonary only,fitted,Universal,37
2003,30-34,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,30-34,UK Born,Extra-pulmonary only,observed,Universal,0
2003,30-34,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,30-34,UK Born,"Pulmonary, with or without EP",fitted,Universal,81
2003,30-34,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,30-34,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,30-34,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,30-34,NA,Extra-pulmonary only,fitted,Universal,25
2003,30-34,NA,Extra-pulmonary only,fitted,Targeted,0
2003,30-34,NA,Extra-pulmonary only,observed,Universal,0
2003,30-34,NA,Extra-pulmonary only,observed,Targeted,0
2003,30-34,NA,"Pulmonary, with or without EP",fitted,Universal,29
2003,30-34,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,30-34,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,30-34,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,35-39,Non-UK Born,Extra-pulmonary only,fitted,Universal,239
2003,35-39,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,35-39,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,35-39,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,35-39,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,243
2003,35-39,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,35-39,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,35-39,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,35-39,Non-UK Born,NA,fitted,Universal,1
2003,35-39,Non-UK Born,NA,fitted,Targeted,0
2003,35-39,Non-UK Born,NA,observed,Universal,0
2003,35-39,Non-UK Born,NA,observed,Targeted,0
2003,35-39,UK Born,Extra-pulmonary only,fitted,Universal,28
2003,35-39,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,35-39,UK Born,Extra-pulmonary only,observed,Universal,0
2003,35-39,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,35-39,UK Born,"Pulmonary, with or without EP",fitted,Universal,85
2003,35-39,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,35-39,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,35-39,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,35-39,NA,Extra-pulmonary only,fitted,Universal,22
2003,35-39,NA,Extra-pulmonary only,fitted,Targeted,0
2003,35-39,NA,Extra-pulmonary only,observed,Universal,0
2003,35-39,NA,Extra-pulmonary only,observed,Targeted,0
2003,35-39,NA,"Pulmonary, with or without EP",fitted,Universal,22
2003,35-39,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,35-39,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,35-39,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,40-44,Non-UK Born,Extra-pulmonary only,fitted,Universal,154
2003,40-44,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,40-44,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,40-44,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,40-44,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,149
2003,40-44,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,40-44,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,40-44,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,40-44,UK Born,Extra-pulmonary only,fitted,Universal,26
2003,40-44,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,40-44,UK Born,Extra-pulmonary only,observed,Universal,0
2003,40-44,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,40-44,UK Born,"Pulmonary, with or without EP",fitted,Universal,83
2003,40-44,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,40-44,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,40-44,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,40-44,NA,Extra-pulmonary only,fitted,Universal,22
2003,40-44,NA,Extra-pulmonary only,fitted,Targeted,0
2003,40-44,NA,Extra-pulmonary only,observed,Universal,0
2003,40-44,NA,Extra-pulmonary only,observed,Targeted,0
2003,40-44,NA,"Pulmonary, with or without EP",fitted,Universal,23
2003,40-44,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,40-44,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,40-44,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,45-49,Non-UK Born,Extra-pulmonary only,fitted,Universal,149
2003,45-49,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,45-49,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,45-49,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,45-49,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,121
2003,45-49,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,45-49,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,45-49,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,45-49,UK Born,Extra-pulmonary only,fitted,Universal,18
2003,45-49,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,45-49,UK Born,Extra-pulmonary only,observed,Universal,0
2003,45-49,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,45-49,UK Born,"Pulmonary, with or without EP",fitted,Universal,65
2003,45-49,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,45-49,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,45-49,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,45-49,NA,Extra-pulmonary only,fitted,Universal,17
2003,45-49,NA,Extra-pulmonary only,fitted,Targeted,0
2003,45-49,NA,Extra-pulmonary only,observed,Universal,0
2003,45-49,NA,Extra-pulmonary only,observed,Targeted,0
2003,45-49,NA,"Pulmonary, with or without EP",fitted,Universal,15
2003,45-49,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,45-49,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,45-49,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,50-69,Non-UK Born,Extra-pulmonary only,fitted,Universal,331
2003,50-69,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,50-69,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,50-69,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,298
2003,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,50-69,UK Born,Extra-pulmonary only,fitted,Universal,90
2003,50-69,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,50-69,UK Born,Extra-pulmonary only,observed,Universal,0
2003,50-69,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,50-69,UK Born,"Pulmonary, with or without EP",fitted,Universal,295
2003,50-69,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,50-69,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,50-69,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,50-69,UK Born,NA,fitted,Universal,1
2003,50-69,UK Born,NA,fitted,Targeted,0
2003,50-69,UK Born,NA,observed,Universal,0
2003,50-69,UK Born,NA,observed,Targeted,0
2003,50-69,NA,Extra-pulmonary only,fitted,Universal,47
2003,50-69,NA,Extra-pulmonary only,fitted,Targeted,0
2003,50-69,NA,Extra-pulmonary only,observed,Universal,0
2003,50-69,NA,Extra-pulmonary only,observed,Targeted,0
2003,50-69,NA,"Pulmonary, with or without EP",fitted,Universal,72
2003,50-69,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,50-69,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,50-69,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,50-69,NA,NA,fitted,Universal,3
2003,50-69,NA,NA,fitted,Targeted,0
2003,50-69,NA,NA,observed,Universal,0
2003,50-69,NA,NA,observed,Targeted,0
2003,70-89,Non-UK Born,Extra-pulmonary only,fitted,Universal,94
2003,70-89,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,70-89,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2003,70-89,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2003,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,150
2003,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,70-89,UK Born,Extra-pulmonary only,fitted,Universal,73
2003,70-89,UK Born,Extra-pulmonary only,fitted,Targeted,0
2003,70-89,UK Born,Extra-pulmonary only,observed,Universal,0
2003,70-89,UK Born,Extra-pulmonary only,observed,Targeted,0
2003,70-89,UK Born,"Pulmonary, with or without EP",fitted,Universal,269
2003,70-89,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2003,70-89,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2003,70-89,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2003,70-89,NA,Extra-pulmonary only,fitted,Universal,25
2003,70-89,NA,Extra-pulmonary only,fitted,Targeted,0
2003,70-89,NA,Extra-pulmonary only,observed,Universal,0
2003,70-89,NA,Extra-pulmonary only,observed,Targeted,0
2003,70-89,NA,"Pulmonary, with or without EP",fitted,Universal,60
2003,70-89,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2003,70-89,NA,"Pulmonary, with or without EP",observed,Universal,0
2003,70-89,NA,"Pulmonary, with or without EP",observed,Targeted,0
2003,70-89,NA,NA,fitted,Universal,1
2003,70-89,NA,NA,fitted,Targeted,0
2003,70-89,NA,NA,observed,Universal,0
2003,70-89,NA,NA,observed,Targeted,0
2004,0-4,Non-UK Born,Extra-pulmonary only,fitted,Universal,11
2004,0-4,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2004,0-4,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2004,0-4,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2004,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,6
2004,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2004,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2004,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2004,0-4,UK Born,Extra-pulmonary only,fitted,Universal,37
2004,0-4,UK Born,Extra-pulmonary only,fitted,Targeted,0
2004,0-4,UK Born,Extra-pulmonary only,observed,Universal,0
2004,0-4,UK Born,Extra-pulmonary only,observed,Targeted,0
2004,0-4,UK Born,"Pulmonary, with or without EP",fitted,Universal,74
2004,0-4,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2004,0-4,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2004,0-4,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2004,0-4,UK Born,NA,fitted,Universal,1
2004,0-4,UK Born,NA,fitted,Targeted,0
2004,0-4,UK Born,NA,observed,Universal,0
2004,0-4,UK Born,NA,observed,Targeted,0
2004,0-4,NA,Extra-pulmonary only,fitted,Universal,2
2004,0-4,NA,Extra-pulmonary only,fitted,Targeted,0
2004,0-4,NA,Extra-pulmonary only,observed,Universal,0
2004,0-4,NA,Extra-pulmonary only,observed,Targeted,0
2004,0-4,NA,"Pulmonary, with or without EP",fitted,Universal,6
2004,0-4,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2004,0-4,NA,"Pulmonary, with or without EP",observed,Universal,0
2004,0-4,NA,"Pulmonary, with or without EP",observed,Targeted,0
2004,5-9,Non-UK Born,Extra-pulmonary only,fitted,Universal,9
2004,5-9,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2004,5-9,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2004,5-9,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
